sigma_max_MPa,a_mm,N_cycles,dK_MPa_sqrt_m,dadN_m_per_cyc
80,7.21625,127916.430,13.5977,2.514191e-08
80,7.22750,128363.890,13.6128,2.522546e-08
80,7.23875,128809.868,13.6278,2.530923e-08
80,7.25000,129254.370,13.6429,2.539320e-08
80,7.26125,129697.402,13.6579,2.547738e-08
80,7.27250,130138.971,13.6730,2.556177e-08
80,7.28375,130579.081,13.6881,2.564636e-08
80,7.29500,131017.740,13.7031,2.573117e-08
80,7.30625,131454.953,13.7182,2.581619e-08
80,7.31750,131890.726,13.7333,2.590142e-08
80,7.32875,132325.065,13.7484,2.598687e-08
80,7.34000,132757.976,13.7635,2.607252e-08
80,7.35125,133189.464,13.7786,2.615839e-08
80,7.36250,133619.537,13.7937,2.624447e-08
80,7.37375,134048.198,13.8088,2.633076e-08
80,7.38500,134475.455,13.8239,2.641727e-08
80,7.39625,134901.313,13.8390,2.650400e-08
80,7.40750,135325.777,13.8541,2.659093e-08
80,7.41875,135748.854,13.8692,2.667809e-08
80,7.43000,136170.548,13.8843,2.676546e-08
80,7.44125,136590.866,13.8995,2.685304e-08
80,7.45250,137009.813,13.9146,2.694084e-08
80,7.46375,137427.395,13.9297,2.702886e-08
80,7.47500,137843.616,13.9449,2.711710e-08
80,7.48625,138258.484,13.9600,2.720556e-08
80,7.49750,138672.002,13.9752,2.729424e-08
80,7.50875,139084.177,13.9903,2.738313e-08
80,7.52000,139495.014,14.0055,2.747225e-08
80,7.53125,139904.518,14.0206,2.756158e-08
80,7.54250,140312.695,14.0358,2.765114e-08
80,7.55375,140719.550,14.0510,2.774092e-08
80,7.56500,141125.088,14.0662,2.783092e-08
80,7.57625,141529.315,14.0814,2.792114e-08
80,7.58750,141932.235,14.0965,2.801159e-08
80,7.59875,142333.855,14.1117,2.810225e-08
80,7.61000,142734.179,14.1269,2.819315e-08
80,7.62125,143133.212,14.1421,2.828427e-08
80,7.63250,143530.959,14.1573,2.837561e-08
80,7.64375,143927.427,14.1726,2.846718e-08
80,7.65500,144322.619,14.1878,2.855897e-08
80,7.66625,144716.540,14.2030,2.865099e-08
80,7.67750,145109.197,14.2182,2.874324e-08
80,7.68875,145500.593,14.2335,2.883572e-08
80,7.70000,145890.734,14.2487,2.892842e-08
80,7.71125,146279.625,14.2639,2.902135e-08
80,7.72250,146667.271,14.2792,2.911451e-08
80,7.73375,147053.676,14.2944,2.920790e-08
80,7.74500,147438.846,14.3097,2.930153e-08
80,7.75625,147822.785,14.3249,2.939538e-08
80,7.76750,148205.498,14.3402,2.948946e-08
80,7.77875,148586.990,14.3555,2.958378e-08
80,7.79000,148967.267,14.3708,2.967832e-08
80,7.80125,149346.331,14.3860,2.977310e-08
80,7.81250,149724.189,14.4013,2.986812e-08
80,7.82375,150100.845,14.4166,2.996336e-08
80,7.83500,150476.303,14.4319,3.005885e-08
80,7.84625,150850.569,14.4472,3.015456e-08
80,7.85750,151223.647,14.4625,3.025051e-08
80,7.86875,151595.541,14.4778,3.034670e-08
80,7.88000,151966.257,14.4932,3.044313e-08
80,7.89125,152335.799,14.5085,3.053979e-08
80,7.90250,152704.171,14.5238,3.063669e-08
80,7.91375,153071.377,14.5391,3.073383e-08
80,7.92500,153437.424,14.5545,3.083120e-08
80,7.93625,153802.314,14.5698,3.092882e-08
80,7.94750,154166.052,14.5852,3.102667e-08
80,7.95875,154528.643,14.6005,3.112477e-08
80,7.97000,154890.092,14.6159,3.122311e-08
80,7.98125,155250.402,14.6313,3.132169e-08
80,7.99250,155609.578,14.6466,3.142051e-08
80,8.00375,155967.624,14.6620,3.151957e-08
80,8.01500,156324.545,14.6774,3.161887e-08
80,8.02625,156680.346,14.6928,3.171842e-08
80,8.03750,157035.029,14.7082,3.181822e-08
80,8.04875,157388.600,14.7236,3.191826e-08
80,8.06000,157741.063,14.7390,3.201854e-08
80,8.07125,158092.422,14.7544,3.211907e-08
80,8.08250,158442.681,14.7698,3.221984e-08
80,8.09375,158791.845,14.7852,3.232087e-08
80,8.10500,159139.917,14.8006,3.242214e-08
80,8.11625,159486.902,14.8161,3.252366e-08
80,8.12750,159832.804,14.8315,3.262542e-08
80,8.13875,160177.627,14.8470,3.272744e-08
80,8.15000,160521.376,14.8624,3.282971e-08
80,8.16125,160864.053,14.8779,3.293222e-08
80,8.17250,161205.664,14.8933,3.303499e-08
80,8.18375,161546.212,14.9088,3.313801e-08
80,8.19500,161885.701,14.9243,3.324128e-08
80,8.20625,162224.136,14.9397,3.334481e-08
80,8.21750,162561.520,14.9552,3.344858e-08
80,8.22875,162897.857,14.9707,3.355262e-08
80,8.24000,163233.151,14.9862,3.365690e-08
80,8.25125,163567.406,15.0017,3.376144e-08
80,8.26250,163900.627,15.0172,3.386624e-08
80,8.27375,164232.816,15.0327,3.397129e-08
80,8.28500,164563.978,15.0482,3.407660e-08
80,8.29625,164894.116,15.0638,3.418217e-08
80,8.30750,165223.235,15.0793,3.428799e-08
80,8.31875,165551.339,15.0948,3.439407e-08
80,8.33000,165878.430,15.1104,3.450041e-08
80,8.34125,166204.513,15.1259,3.460702e-08
80,8.35250,166529.592,15.1415,3.471388e-08
80,8.36375,166853.669,15.1570,3.482100e-08
80,8.37500,167176.750,15.1726,3.492838e-08
80,8.38625,167498.838,15.1882,3.503603e-08
80,8.39750,167819.936,15.2037,3.514394e-08
80,8.40875,168140.048,15.2193,3.525211e-08
80,8.42000,168459.178,15.2349,3.536055e-08
80,8.43125,168777.329,15.2505,3.546925e-08
80,8.44250,169094.505,15.2661,3.557821e-08
80,8.45375,169410.710,15.2817,3.568744e-08
80,8.46500,169725.947,15.2973,3.579694e-08
80,8.47625,170040.220,15.3129,3.590671e-08
80,8.48750,170353.532,15.3286,3.601674e-08
80,8.49875,170665.886,15.3442,3.612704e-08
80,8.51000,170977.287,15.3598,3.623761e-08
80,8.52125,171287.738,15.3755,3.634844e-08
80,8.53250,171597.243,15.3911,3.645955e-08
80,8.54375,171905.804,15.4068,3.657093e-08
80,8.55500,172213.425,15.4224,3.668258e-08
80,8.56625,172520.110,15.4381,3.679450e-08
80,8.57750,172825.863,15.4538,3.690669e-08
80,8.58875,173130.685,15.4695,3.701916e-08
80,8.60000,173434.582,15.4852,3.713190e-08
80,8.61125,173737.556,15.5009,3.724492e-08
80,8.62250,174039.611,15.5166,3.735820e-08
80,8.63375,174340.749,15.5323,3.747177e-08
80,8.64500,174640.975,15.5480,3.758561e-08
80,8.65625,174940.292,15.5637,3.769973e-08
80,8.66750,175238.703,15.5794,3.781412e-08
80,8.67875,175536.211,15.5952,3.792880e-08
80,8.69000,175832.819,15.6109,3.804375e-08
80,8.70125,176128.531,15.6266,3.815898e-08
80,8.71250,176423.350,15.6424,3.827449e-08
80,8.72375,176717.280,15.6581,3.839029e-08
80,8.73500,177010.323,15.6739,3.850636e-08
80,8.74625,177302.482,15.6897,3.862271e-08
80,8.75750,177593.762,15.7055,3.873935e-08
80,8.76875,177884.164,15.7212,3.885627e-08
80,8.78000,178173.692,15.7370,3.897348e-08
80,8.79125,178462.350,15.7528,3.909097e-08
80,8.80250,178750.141,15.7686,3.920874e-08
